Function,Total_Syscalls,Total_Syscalls_Success,Total_Syscalls_Failed,Min,Max,Average,Stdev,Failure,Context,Increase
7f147af6532f,131,99,32,0.000999999,0.038,0.005175573,0.006044045,1,0.244274809,0.755725191
7f147af6545b,153,107,46,0.000999999,0.015,0.001418301,0.001233386,1,0.300653595,0.699346405
7f147ab2673d,2042,2026,16,0,18939.228,45.40659549,703.4806901,0.023668639,0.007835455,0.015833184
7f147af5a609,12895,12873,22,0,20516.421,10.1504798,367.1253952,0.001706088,0.001706088,0
7f147af6218d,385,191,194,0.000999999,0.069,0.006625974,0.005710038,0.503896104,0.503896104,0
7f147aa32083,286,283,3,0.000999999,43.457,0.400730769,3.933936201,0.01048951,0.01048951,0
7f147aaa2bc9,1,0,1,0.011999999,0.011999999,0,0,1,1,0
7f147af657dc,6,0,6,0.014000001,0.048,0.031166667,0.012544587,1,1,0
7f147af6565c,29,28,1,0.000999999,0.023000001,0.002413793,0.004022413,0.034482759,0.034482759,0
7f9ea14647a3,76,13,63,0.001,0.012999999,0.004355263,0.002189088,0.828947368,0.828947368,0
7f9ea146498a,3,0,3,0.004,0.007999999,0.005666666,0.002081666,1,1,0
7f9ea1478d39,75,0,75,0.000999999,0.004,0.001546667,0.000663597,1,1,0
7f9ea1478e2b,75,0,75,0.000999999,0.006,0.00208,0.000652645,1,1,0
7f9ea14649cd,126,125,1,0.000999999,29.016,0.234277778,2.584594516,0.007936508,0.007936508,0
7f9ea146461b,166,148,18,0.000999999,0.080999998,0.005584337,0.011487627,0.108433735,0.108433735,0
7f9ea147920b,2,0,2,0.013999999,0.017,0.0155,0.002121321,1,1,0
7f9ea141fe56,1,0,1,0.001,0.001,0,0,1,1,0
7f9ea0ef9083,24,20,4,0.000999999,0.029000001,0.0045,0.007598627,0.166666667,0.166666667,0
7f9ea1422cd7,1,0,1,69.96,69.96,0,0,1,1,0
7f9ea142159a,1,0,1,0.005,0.005,0,0,1,1,0
7f9ea0fe834b,2,0,2,0.001,0.002000001,0.001500001,0.000707107,1,1,0
7f9ea1421609,7,3,4,0,0.007000001,0.003285714,0.00256348,0.571428571,0.571428571,0
7f9ea0feda7b,1,0,1,0.004000001,0.004000001,0,0,1,1,0
7f9ea14645d0,22,11,11,0.001999999,0.026,0.005181818,0.005169843,0.5,0.5,0
7f9ea1035928,11,0,11,0.034000001,0.077000001,0.038818182,0.012687145,1,1,0
7f9ea146bb9a,5,4,1,0.002000001,0.019000001,0.007000001,0.006855655,0.2,0.2,0
7f147aaeb0b5,88,85,3,0.000999999,0.099000001,0.002954545,0.010739239,0.034090909,0.034090909,0
7f147ab6d3d5,3,2,1,0.001,12.134,4.046333333,7.004124952,0.333333333,0.333333333,0
7f9ea142918d,2,1,1,0.002000001,0.005,0.0035,0.00212132,0.5,0.5,0
7f9ea0fb20b5,6,4,2,0.001,0.004,0.001833334,0.00132916,0.333333333,0.333333333,0
7f147ab1b88e,1,0,1,0.013000001,0.013000001,0,0,1,1,0
7f147ab2134b,6,0,6,0.000999999,0.002000001,0.0015,0.000547722,1,1,0
7f147af62499,2,0,2,0.004,0.007000001,0.0055,0.002121321,1,1,0
7f147098e7cb,7457,7450,7,0,17512.69,3.74155639,205.6693797,0,0.000938715,-0.000938715
7f1475329a27,1035,1034,1,0,7.449999999,0.009222222,0.231520182,0,0.000966184,-0.000966184
7f1475329ad7,1034,1033,1,0.000999999,6.567,0.00823501,0.204182003,0,0.000967118,-0.000967118
7f14711694da,4782,4777,5,0,17512.69,5.316319113,256.378181,0,0.001045588,-0.001045588
7f1479f76c99,7207,7199,8,0,17512.69,4.007130984,209.5570724,0,0.001110032,-0.001110032
7f147098818e,7181,7173,8,0,17512.69,4.020332962,209.9360257,0,0.001114051,-0.001114051
7f14766381a2,1500,1498,2,0,2116.915,2.532536,66.07813868,0,0.001333333,-0.001333333
564f6059fbb4,693,692,1,0,2189.187,3.625471861,83.20422563,0,0.001443001,-0.001443001
7f14717d845f,670,669,1,0,2116.915,3.562549254,81.84894896,0,0.001492537,-0.001492537
7f14717cffdb,652,651,1,0,2116.915,3.660763804,82.97061876,0,0.001533742,-0.001533742
7f14717d065b,630,629,1,0,2116.915,3.695471429,84.37808622,0,0.001587302,-0.001587302
7f147ab1071b,2520,2516,4,0,20516.421,11.62119484,417.2602307,0,0.001587302,-0.001587302
7f14765d5480,1173,1171,2,0,1437.631,1.37958653,42.0260862,0,0.00170503,-0.00170503
7f147685fb33,1173,1171,2,0,1437.631,1.37958653,42.0260862,0,0.00170503,-0.00170503
7f147685f448,1173,1171,2,0,1437.631,1.37958653,42.0260862,0,0.00170503,-0.00170503
7f14765f7bf6,1172,1170,2,0,1437.631,1.380675768,42.04401033,0,0.001706485,-0.001706485
7f1476781c04,1172,1170,2,0,1437.631,1.380675768,42.04401033,0,0.001706485,-0.001706485
7f14765d65c7,1172,1170,2,0,1437.631,1.380675768,42.04401033,0,0.001706485,-0.001706485
7f14710e3fb6,8165,8151,14,0,18522.585,7.11283417,287.0814622,0,0.001714636,-0.001714636
564f60640872,7903,7889,14,0,18522.585,7.335182462,291.7983226,0,0.001771479,-0.001771479
7f14765d42ec,1669,1666,3,0,18154.184,13.01094847,447.2620865,0,0.001797484,-0.001797484
7f14766e6e9c,1669,1666,3,0,18154.184,13.01094847,447.2620865,0,0.001797484,-0.001797484
7f14766e8c8c,1669,1666,3,0,18154.184,13.01094847,447.2620865,0,0.001797484,-0.001797484
7f147665402c,1669,1666,3,0,18154.184,13.01094847,447.2620865,0,0.001797484,-0.001797484
7f147683cce5,1669,1666,3,0,18154.184,13.01094847,447.2620865,0,0.001797484,-0.001797484
7f1476dfd2f8,1013,1011,2,0,20516.421,24.63972261,655.7486989,0,0.001974334,-0.001974334
7f1476deb7e8,1013,1011,2,0,20516.421,24.63972261,655.7486989,0,0.001974334,-0.001974334
7f1476dba9f8,1013,1011,2,0,20516.421,24.63972261,655.7486989,0,0.001974334,-0.001974334
7f1476d7521e,1013,1011,2,0,20516.421,24.63972261,655.7486989,0,0.001974334,-0.001974334
7f1476db8adf,1005,1003,2,0,20516.421,24.80249254,658.3528018,0,0.00199005,-0.00199005
7f1476dc9b5e,1005,1003,2,0,20516.421,24.80249254,658.3528018,0,0.00199005,-0.00199005
7f14778063b3,4991,4981,10,0,20516.421,14.61039451,461.9552335,0,0.002003606,-0.002003606
564f605980d6,464,463,1,0,2189.187,5.046491379,101.6407867,0,0.002155172,-0.002155172
7f14717d10ba,461,460,1,0,2116.915,4.974639913,98.62905495,0,0.002169197,-0.002169197
7f14766d2419,459,458,1,0,2116.915,4.985897603,98.84389507,0,0.002178649,-0.002178649
7f147652f5a1,459,458,1,0,2116.915,4.985897603,98.84389507,0,0.002178649,-0.002178649
7f147685bbe8,1290,1287,3,0,1516.775,2.50898062,58.20304526,0,0.002325581,-0.002325581
7f14766d2e85,379,378,1,0,2116.915,5.909472296,108.7483815,0,0.002638522,-0.002638522
7f14753275db,4121,4110,11,0,349.9,0.166842757,5.583369902,0,0.002669255,-0.002669255
7f14709808a6,358,357,1,0.000999999,17512.69,48.94096369,925.5732943,0,0.002793296,-0.002793296
7f147098abdd,358,357,1,0.000999999,17512.69,48.94096369,925.5732943,0,0.002793296,-0.002793296
7f14753299f8,1049,1046,3,0.002999999,43.657,0.092975215,1.832000921,0,0.002859867,-0.002859867
7f14710e5df4,348,347,1,0,18522.585,67.8774454,994.49049,0,0.002873563,-0.002873563
7f147655297c,339,338,1,0.000999999,2189.187,7.844787611,119.1016113,0,0.002949853,-0.002949853
7f14766d60c8,321,320,1,0,2116.915,6.792875389,118.1592345,0,0.003115265,-0.003115265
7f147676e507,315,314,1,0.000999999,2116.915,6.922146032,119.2790429,0,0.003174603,-0.003174603
564f6059e45c,791,788,3,0,2189.187,5.236791403,86.13543076,0,0.003792668,-0.003792668
564f605af6c0,791,788,3,0,2189.187,5.236791403,86.13543076,0,0.003792668,-0.003792668
7f147657ba01,785,782,3,0,2189.187,5.276803822,86.46318032,0,0.003821656,-0.003821656
7f1476554618,785,782,3,0,2189.187,5.276803822,86.46318032,0,0.003821656,-0.003821656
7f147653c72c,785,782,3,0,2189.187,5.276803822,86.46318032,0,0.003821656,-0.003821656
7f1470982b93,260,259,1,0.000999999,1626.458,6.677796154,100.9173829,0,0.003846154,-0.003846154
7f147ab26a7b,1549,1543,6,0.002999999,58.962,0.114307941,1.881725858,0,0.003873467,-0.003873467
7f1476da5cfe,510,508,2,0.000999999,20516.421,48.07961961,924.0252067,0,0.003921569,-0.003921569
