Function,Total_Syscalls,Total_Syscalls_Success,Total_Syscalls_Failed,Min,Max,Average,Stdev,Failure,Context,Increase
get_link_name,944,913,31,0.001,0.068,0.002028602,0.00217774,0,0.032838983,-0.032838983
gobble_file,944,913,31,0.001,0.068,0.002028602,0.00217774,0,0.032838983,-0.032838983
do_lstat,5832,5178,654,0,0.074,0.002163409,0.002018151,0,0.112139918,-0.112139918
gobble_file,5832,5178,654,0,0.074,0.002163409,0.002018151,0,0.112139918,-0.112139918
main,22,11,11,0,0.008,0.002272727,0.001750696,0,0.5,-0.5
signal_restore,48,18,30,0,0.001,0.000625,0.000489246,0,0.625,-0.625
main,48,18,30,0,0.001,0.000625,0.000489246,0,0.625,-0.625
signal_init,96,14,82,0,0.001,0.000854167,0.000354792,0,0.854166667,-0.854166667
put_indicator,96,14,82,0,0.001,0.000854167,0.000354792,0,0.854166667,-0.854166667
print_color_indicator,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
quote_name,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
print_name_with_quoting,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
print_file_name_and_frills,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
print_many_per_line,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
print_current_files,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
print_dir,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
main,7842,410,7432,0,0.074,0.002113874,0.00192988,0,0.947717419,-0.947717419
print_dir,7720,307,7413,0,0.074,0.002129793,0.001939022,0,0.960233161,-0.960233161
stat_for_mode,944,1,943,0,0.025,0.002023305,0.000905672,0,0.998940678,-0.998940678
gobble_file,944,1,943,0,0.025,0.002023305,0.000905672,0,0.998940678,-0.998940678
decode_switches,11,0,11,0.003,0.008,0.003636364,0.001501514,0,1,-1
do_stat,11,0,11,0.003,0.004,0.003727273,0.000467099,0,1,-1
gobble_file,11,0,11,0.003,0.004,0.003727273,0.000467099,0,1,-1
main,11,0,11,0.003,0.004,0.003727273,0.000467099,0,1,-1
